Employee_Number,Monthly_Income,Percent_Salary_Hike,Stock_Option_Level,Over_Time
410,16015,19,0,No
411,1200,12,0,No
412,5661,19,0,No
416,6929,11,1,No
417,9613,17,3,No
419,5674,15,1,No
420,5484,14,1,No
421,12061,17,1,No
422,5660,13,1,Yes
423,4821,12,1,Yes
424,6410,12,0,No
425,5210,18,1,No
426,2695,18,1,Yes
428,11878,11,2,No
429,17068,14,0,Yes
430,2455,19,0,No
431,13964,12,0,Yes
433,4941,15,0,No
434,2478,12,0,Yes
436,5228,11,0,Yes
437,4478,11,0,Yes
438,7547,12,3,No
439,5055,16,0,No
440,3464,13,0,Yes
441,5775,13,2,No
442,8943,24,1,No
444,19272,15,1,No
445,5238,18,0,Yes
446,4682,14,0,No
447,18300,11,1,No
448,5257,11,1,No
449,6349,13,1,Yes
450,4869,12,0,No
451,9985,16,1,No
452,3697,14,2,No
453,7457,22,3,Yes
454,2119,11,0,Yes
455,3983,17,0,No
456,6118,13,3,No
458,6214,18,1,No
460,6347,16,2,No
461,11510,14,1,Yes
462,7143,14,0,Yes
463,8268,14,2,Yes
464,8095,13,0,No
465,2904,12,2,No
466,6032,15,0,Yes
467,2976,19,0,No
468,15992,14,0,No
469,4649,14,1,No
470,2696,11,1,Yes
471,2370,13,1,No
473,12504,21,1,No
474,5974,13,2,Yes
475,4736,12,1,Yes
476,5296,17,1,No
477,6781,23,0,No
478,2174,11,0,Yes
479,6653,15,0,No
481,9699,11,1,No
482,6755,11,0,No
483,2213,13,1,Yes
484,2610,24,0,No
485,2851,13,0,Yes
486,3452,20,1,No
487,5258,14,0,No
488,9355,18,0,No
491,10496,15,0,No
492,6380,12,2,Yes
493,2657,16,0,Yes
494,2716,15,0,No
495,2201,16,0,No
496,6540,19,0,No
497,3816,11,1,No
498,5253,16,0,No
499,10965,24,0,No
500,4936,11,1,No
501,2543,13,1,No
502,5304,13,0,Yes
505,16659,13,0,Yes
507,4260,12,1,Yes
508,2476,18,1,No
510,3102,22,0,No
511,2244,13,1,No
513,7596,13,2,No
514,2285,23,0,Yes
515,3034,12,1,No
516,5715,12,2,No
517,2576,16,1,No
518,4197,12,0,Yes
520,14336,11,1,No
521,3448,22,1,No
522,19406,11,1,No
523,6538,15,1,No
524,4306,12,1,No
525,2258,20,1,No
526,4522,14,0,Yes
527,4487,11,0,Yes
529,4449,15,2,Yes
530,2218,12,1,No
531,19197,14,1,Yes
532,13212,11,3,No
533,6577,11,0,No
534,8392,16,1,No
536,4558,12,1,No
538,4031,13,1,No
543,7969,14,0,Yes
544,2654,21,2,No
546,16555,13,0,No
547,4556,11,1,No
548,6091,20,0,No
549,19566,11,0,No
550,4810,14,1,No
551,4523,11,3,No
554,3202,16,0,Yes
555,2351,16,1,No
556,1702,23,1,Yes
558,18041,14,0,No
560,2886,22,2,No
562,2097,15,1,No
564,11935,18,0,No
565,2546,16,0,No
566,2564,12,0,No
567,8412,11,0,No
568,14118,12,1,No
569,17046,15,1,No
571,2564,14,0,No
573,10266,19,0,No
574,5070,13,3,No
575,17861,13,0,No
577,4230,15,0,No
578,3780,11,0,No
579,2768,12,1,No
580,9071,19,1,Yes
581,10648,25,1,No
582,13610,12,0,Yes
584,3408,13,3,No
585,2983,14,0,No
586,7632,12,0,Yes
587,9824,12,0,No
590,9950,15,3,Yes
591,2093,17,1,No
592,9980,14,0,No
593,3894,16,0,No
595,4051,14,1,No
597,16835,23,0,No
599,6230,14,0,No
600,4717,11,0,No
601,13237,15,0,No
602,3755,11,1,No
604,6582,13,0,Yes
605,7406,21,1,Yes
606,4805,19,1,No
608,2741,11,1,Yes
611,4262,12,2,No
612,16184,19,1,No
613,11557,21,1,No
614,1878,14,0,Yes
615,10932,15,1,No
616,6811,17,0,Yes
618,4306,12,2,No
620,4859,16,0,No
621,5337,12,0,No
622,2340,18,0,Yes
623,7491,17,0,No
624,10527,11,0,No
625,16595,16,1,No
626,8834,13,1,No
630,5577,12,2,Yes
631,4707,12,0,No
632,2400,13,2,No
634,9824,19,1,No
635,6447,12,1,No
638,19502,17,1,Yes
639,2725,11,2,Yes
641,6272,20,2,No
643,2127,21,1,No
644,18200,11,1,No
645,2096,11,0,No
647,2886,16,1,Yes
648,2033,18,1,No
649,3622,13,1,Yes
650,4233,17,0,No
652,3681,14,0,No
653,5460,22,2,No
655,2187,12,2,No
656,9602,11,1,Yes
657,2836,13,0,No
659,4089,13,2,No
661,16627,14,1,Yes
662,2619,17,0,No
663,5679,13,1,Yes
664,15402,11,1,No
665,5985,11,0,No
666,2579,18,2,Yes
667,3041,11,1,No
669,3447,11,0,No
671,19513,12,1,Yes
675,2773,20,0,No
677,7104,12,0,No
679,6322,12,1,Yes
680,2083,20,1,No
682,8381,20,0,No
683,2691,12,1,No
684,4286,14,2,No
686,2659,13,1,Yes
689,9434,15,1,No
690,5561,14,1,No
691,6646,13,0,No
692,7725,23,1,No
698,10725,15,1,No
699,8847,11,1,Yes
700,2045,13,0,No
701,1009,11,0,Yes
702,3348,11,0,Yes
704,1281,18,2,No
705,2819,16,1,No
707,4851,22,1,No
709,4028,20,0,No
710,2720,18,1,No
712,8120,12,0,No
714,4647,20,2,Yes
715,4680,17,0,No
716,3221,11,3,Yes
717,8621,14,0,No
720,4577,14,0,No
721,4553,11,0,No
722,5396,12,0,No
723,6796,14,1,Yes
724,7625,13,0,No
725,7412,11,0,No
727,11159,15,0,No
728,4960,12,0,No
729,10475,21,1,Yes
730,14814,19,0,No
731,19141,15,3,No
732,5405,14,0,No
733,8793,21,2,No
734,19189,12,1,No
738,3875,15,1,No
741,2216,13,0,Yes
742,11713,14,1,No
743,7861,14,0,Yes
744,3708,14,0,No
746,13770,12,2,Yes
747,5304,23,1,No
749,2642,11,0,No
752,2759,12,0,Yes
754,6804,18,1,No
757,6142,11,0,No
758,2500,14,1,No
760,6389,15,1,No
762,11103,11,0,No
763,2342,20,0,Yes
764,6811,19,0,No
766,2297,14,2,No
769,2450,17,0,No
771,5093,11,1,No
772,5309,15,2,No
773,3057,13,1,Yes
775,5121,14,1,No
776,16856,11,0,No
780,2686,13,0,Yes
781,6180,23,0,No
783,6632,13,0,No
784,3505,18,0,No
785,6397,12,0,Yes
786,6274,22,0,No
787,19859,13,1,Yes
789,7587,15,0,No
791,4258,18,1,No
792,4364,14,1,No
793,4335,12,1,No
796,5326,17,0,No
797,3280,16,0,No
799,5485,11,2,Yes
800,4342,19,1,No
802,2782,13,2,Yes
803,5980,12,0,Yes
804,4381,11,0,No
805,2572,16,1,No
806,3833,21,2,No
807,4244,24,1,No
808,6500,17,1,No
809,18430,13,1,No
811,1601,21,2,Yes
812,2694,11,3,No
813,3149,20,1,No
815,17639,16,0,No
816,2319,11,1,Yes
817,11691,11,0,No
819,5324,15,0,No
820,16752,11,1,Yes
823,5228,15,1,No
824,2700,24,1,No
825,19246,12,0,Yes
826,2506,13,0,No
827,6062,13,1,Yes
828,4382,17,0,No
829,2143,13,1,No
830,6162,12,1,No
832,5094,14,0,No
833,6877,24,0,Yes
834,2274,14,0,No
836,4434,13,1,No
837,6288,15,1,No
838,2553,16,0,No
840,7654,18,2,No
842,5160,16,0,No
843,17159,24,1,No
844,12808,16,1,Yes
845,10221,21,0,No
846,4779,20,0,Yes
847,3737,19,1,No
848,2366,14,1,Yes
850,1706,11,3,No
851,16307,14,1,No
852,5933,12,0,No
854,3424,13,0,No
855,4037,22,1,No
856,2559,11,0,No
857,6201,14,1,Yes
859,4403,11,1,No
861,3761,12,1,No
862,10934,18,1,Yes
864,10761,12,1,Yes
865,5175,12,1,No
867,13826,22,0,No
868,6334,19,2,No
869,4936,13,1,No
872,4775,22,2,No
874,2818,24,1,Yes
875,2515,14,0,Yes
878,2342,21,0,No
879,4194,18,0,Yes
880,10685,20,1,Yes
881,2022,19,1,Yes
882,2314,12,1,No
885,4256,12,0,No
887,3580,16,1,No
888,3162,17,0,No
889,6524,14,1,No
893,2899,19,1,No
894,5231,13,1,Yes
895,2356,19,1,Yes
896,2800,19,3,Yes
897,11836,14,1,No
899,10903,16,0,No
900,2973,15,1,No
901,14275,18,0,No
902,5562,13,1,No
903,4537,22,1,Yes
904,7642,13,0,Yes
905,17924,11,1,No
909,5204,11,2,No
910,2277,11,1,Yes
911,2795,24,0,Yes
912,2532,14,3,No
913,2559,13,0,Yes
916,4908,14,0,No
918,2380,14,1,Yes
920,4765,21,1,No
922,2044,13,0,No
923,2693,19,0,No
924,6586,17,1,Yes
925,3294,18,0,Yes
926,4171,19,1,Yes
927,2778,13,1,Yes
930,2377,18,1,No
932,2404,21,0,Yes
933,2318,19,0,No
934,2008,14,2,No
936,6244,17,0,No
939,2799,11,0,Yes
940,10552,13,1,Yes
941,2329,15,0,No
942,4014,25,1,Yes
944,7403,11,1,No
945,2259,17,2,No
947,6932,13,1,No
949,4678,18,0,No
950,13582,13,1,No
951,2332,20,0,No
952,2413,18,3,Yes
954,9705,12,1,No
956,4294,12,0,No
957,4721,13,0,Yes
958,2519,21,0,No
959,2121,13,0,Yes
960,2973,19,0,No
961,5855,11,2,Yes
964,3617,14,1,Yes
966,6725,12,1,No
967,10325,11,1,Yes
969,6949,14,0,No
970,10609,11,0,No
972,4447,12,0,No
974,2157,15,1,No
975,4601,16,0,No
976,17099,15,1,No
977,2479,24,0,No
981,14852,13,1,No
982,7264,11,1,No
983,5666,13,0,Yes
984,7823,13,1,No
985,7880,18,0,No
986,13194,16,0,Yes
987,5067,19,0,Yes
990,5079,13,2,No
991,2321,22,0,Yes
992,17444,11,0,No
994,2404,20,0,Yes
995,3452,18,0,No
996,2270,14,2,No
997,17399,22,1,No
998,5488,13,1,Yes
999,19419,17,1,No
1001,2811,14,1,No
1002,3633,15,1,Yes
1003,4163,17,0,Yes
1004,2132,11,0,Yes
1005,13973,18,1,Yes
1006,2684,17,1,No
1007,10845,13,1,No
1009,4377,15,2,No
1010,3743,24,1,Yes
1011,4148,12,1,No
1012,1051,15,0,No
1013,10739,11,1,No
1014,10388,11,1,Yes
1015,11416,12,3,Yes
1016,2600,15,0,Yes
1017,2422,17,0,No
1018,5472,12,0,No
1019,2451,15,1,No
1022,4240,13,0,No
1024,10999,14,0,No
1025,5003,14,0,No
1026,12742,16,1,No
1027,4227,18,1,No
1028,3917,20,1,No
1029,18303,13,0,No
1030,2380,18,0,No
1032,13726,13,0,Yes
1033,4777,15,0,No
1034,6385,14,2,Yes
1035,19973,22,2,No
1036,6861,12,0,Yes
1037,4969,18,0,No
1038,19845,15,1,No
1039,13320,18,1,Yes
1040,6347,12,1,No
1042,2743,16,0,No
1043,10880,13,0,Yes
1044,2342,19,0,No
1045,17650,13,1,No
1046,4025,12,0,No
1047,9725,11,1,No
1048,11904,14,1,Yes
1049,2177,16,0,No
1050,7525,12,1,No
1052,4834,14,1,No
1053,2042,14,1,Yes
1055,2220,19,1,Yes
1056,1052,22,0,No
1060,2821,16,1,No
1061,19237,11,1,Yes
1062,4107,15,0,No
1066,8396,14,1,No
1068,2007,13,2,No
1069,19627,17,2,No
1070,10686,11,1,No
1071,2942,19,1,No
1073,8858,11,0,No
1074,16756,15,0,No
1076,10798,13,1,No
1077,2323,14,0,Yes
1079,1416,13,0,No
1080,4615,23,3,Yes
1081,2461,12,3,Yes
1082,8722,12,0,No
1083,3955,16,2,No
1084,9957,15,1,No
1085,3376,13,0,No
1088,8823,18,1,No
1092,10322,20,1,No
1094,4621,19,3,No
1096,10976,18,1,No
1097,3660,13,0,No
1098,10482,14,1,No
1099,7119,15,1,No
1100,9582,22,0,Yes
1101,4508,22,0,No
1102,2207,16,1,No
1103,7756,17,0,No
1105,6694,14,3,Yes
1106,3691,15,1,Yes
1107,2377,20,1,No
1108,2313,20,0,Yes
1109,17665,17,1,No
1111,2596,15,2,No
1113,4728,14,0,Yes
1114,4302,17,1,No
1115,2979,17,3,No
1116,16885,22,0,No
1117,5593,13,1,No
1118,10445,19,0,No
1119,8740,14,2,Yes
1120,2514,22,1,No
1121,7655,17,3,No
1124,17465,12,1,No
1125,7351,16,0,No
1126,10820,11,1,No
1127,12169,11,3,No
1128,19626,14,0,No
1131,2070,11,0,Yes
1132,6782,15,0,No
1133,7779,20,0,No
1135,2791,12,1,No
1136,3201,17,0,No
1137,4968,11,1,No
1138,13120,17,1,No
1140,4033,11,0,No
1143,3291,14,2,No
1148,4272,19,0,No
1150,5056,15,1,Yes
1152,2844,13,1,No
1154,2703,14,1,Yes
1156,1904,12,0,No
1157,8224,17,0,Yes
1158,4766,11,1,Yes
1160,2610,12,1,No
1161,5731,13,2,No
1162,2539,13,1,No
1163,5714,20,0,No
1164,4323,17,0,No
1165,7336,13,1,No
1166,13499,17,0,No
1167,13758,12,0,Yes
1171,5155,13,0,No
1172,2258,12,1,No
1173,3597,22,0,No
1175,2515,11,0,Yes
1177,4420,22,1,No
1179,6578,18,1,No
1180,4422,13,1,Yes
1182,10274,18,1,No
1184,5343,20,0,No
1185,2376,13,1,No
1188,5346,13,0,No
1190,2827,12,3,No
1191,19943,13,1,No
1192,3131,13,1,No
1193,2552,25,0,No
1195,4477,19,1,Yes
1196,6474,13,1,No
1198,3033,12,0,No
1200,2936,11,0,Yes
1201,18606,18,1,No
1202,2168,18,1,Yes
1203,2853,11,1,Yes
1204,17048,23,0,No
1206,2290,13,0,No
1207,3600,13,1,No
1210,2107,17,1,No
1211,4115,19,3,No
1212,4327,12,3,No
1215,17856,22,1,No
1216,3196,12,3,No
1217,19081,11,1,No
1218,8966,15,3,Yes
1219,2210,13,1,No
1220,4539,12,1,No
1221,2741,14,1,No
1224,3491,13,3,No
1225,4541,25,0,No
1226,2678,17,0,No
1228,7379,11,1,No
1231,6272,16,1,No
1233,5220,18,1,Yes
1234,2743,20,1,No
1235,4998,14,0,Yes
1237,10252,21,1,Yes
1238,2781,13,1,No
1239,6852,12,1,No
1240,4950,14,0,No
1241,3579,21,1,Yes
1242,13191,17,0,Yes
1243,10377,11,1,Yes
1244,2235,14,2,Yes
1245,10502,17,1,No
1246,2011,13,1,No
1248,1859,25,0,Yes
1249,3760,15,3,No
1250,17779,14,0,No
1251,6833,12,0,Yes
1252,6812,19,0,No
1254,5171,17,0,No
1255,19740,14,1,No
1256,18711,13,1,No
1257,3692,12,0,No
1258,2559,11,0,No
1259,2517,11,3,No
1260,6623,11,2,Yes
1263,18265,12,0,No
1264,16124,14,2,No
1265,2585,17,0,No
1267,18213,11,1,No
1268,8380,14,2,Yes
1269,2994,12,0,Yes
1270,1223,22,1,No
1273,1118,14,0,Yes
1275,2875,20,0,Yes
1277,18824,16,0,Yes
1278,13577,15,1,Yes
1279,2625,20,0,No
1280,18789,14,1,No
1281,4538,12,0,Yes
1282,19847,24,1,Yes
1283,10512,12,0,No
1285,4444,13,2,No
1286,2154,11,0,Yes
1288,19190,14,2,No
1289,4490,11,2,No
1291,3506,14,0,Yes
1292,2372,16,0,Yes
1293,10231,14,0,No
1294,5410,11,0,Yes
1295,7978,11,1,No
1296,3867,12,1,Yes
1297,2838,14,0,No
1298,4695,18,0,Yes
1299,3339,13,2,Yes
1301,2080,11,0,No
1303,2096,18,0,No
1304,6209,15,2,No
1306,18061,22,0,No
1307,17123,13,2,Yes
1308,2372,12,2,No
1309,4883,18,1,No
1310,3904,13,0,No
1311,4627,12,1,No
1312,7094,12,0,No
1314,3423,12,0,No
1315,6674,11,3,No
1317,16880,11,0,Yes
1318,9094,12,0,Yes
1319,8446,19,0,Yes
1321,11916,23,2,Yes
1322,4534,11,0,No
1324,9852,19,1,Yes
1329,6151,13,0,No
1331,2302,11,0,Yes
1333,2362,12,0,No
1334,17861,13,0,Yes
1336,19187,14,1,No
1338,19717,14,0,No
1340,3544,16,1,No
1344,8500,11,1,No
1346,4661,13,0,No
1349,4103,17,1,No
1350,4249,11,0,Yes
1352,14026,11,1,Yes
1355,6893,15,1,No
1356,6125,12,0,No
1358,3669,11,3,No
1360,10008,14,0,Yes
1361,2387,22,1,No
1362,4639,16,1,No
1363,7898,11,0,No
1364,2534,14,1,No
1367,13142,16,0,No
1368,1611,15,0,No
1369,5363,12,1,No
1371,5071,20,0,No
1372,13695,17,0,Yes
1373,13402,12,1,Yes
1374,2029,20,3,No
1375,6377,20,3,No
1377,5429,13,2,No
1379,2785,14,0,No
1380,4614,18,1,Yes
1382,2610,11,3,No
1383,6687,11,0,No
1387,4724,11,1,No
1389,6179,15,2,Yes
1390,6120,12,2,Yes
1391,10596,11,0,No
1392,5467,14,2,Yes
1394,2996,15,0,Yes
1395,9998,13,0,No
1396,4078,13,3,Yes
1397,10920,21,1,No
1399,6232,11,0,No
1401,13247,11,1,Yes
1402,4081,14,0,Yes
1403,5769,11,0,Yes
1405,2394,13,0,Yes
1407,3904,12,0,No
1408,16799,14,1,No
1409,2950,13,0,No
1411,3629,18,0,No
1412,9362,11,0,No
1415,3229,11,1,No
1417,3578,12,0,No
1419,7988,13,0,No
1420,4284,20,0,No
1421,7553,12,0,Yes
1422,17328,19,0,No
1423,19701,21,1,Yes
1424,14732,13,2,No
1425,9278,16,0,Yes
1427,1359,12,0,No
1428,4779,14,2,No
1430,16422,11,0,No
1431,2996,14,2,No
1433,1261,12,0,No
1434,2099,14,0,No
1435,5810,16,0,No
1436,5647,13,2,No
1438,3420,12,1,No
1439,4400,12,0,No
1440,3500,14,0,No
1441,2066,22,1,No
1443,17169,19,2,No
1445,4162,12,2,Yes
1446,9204,12,1,No
1447,3294,17,1,No
1448,2127,12,0,Yes
1449,3975,11,2,No
1453,10793,18,1,No
1457,10096,11,1,No
1458,3646,23,0,Yes
1459,7446,11,0,No
1460,10851,18,1,Yes
1461,2109,18,0,No
1464,3722,13,1,Yes
1465,9380,18,2,Yes
1466,5486,11,3,No
1467,2742,15,0,No
1468,13757,11,1,No
1469,8463,18,0,No
1471,3162,14,0,No
1472,16598,12,0,No
1473,6651,14,1,No
1474,2345,14,1,No
1475,3420,13,0,No
1477,4373,14,2,No
1478,4759,18,0,No
1479,5301,15,2,No
1480,3673,13,0,No
1481,4768,12,1,No
1482,1274,13,2,No
1483,4900,24,1,No
1484,10466,14,2,No
1485,17007,14,2,No
1486,2909,15,1,No
1487,5765,11,0,No
1489,4599,23,0,Yes
1492,2404,13,1,No
1494,3172,11,0,Yes
1495,2033,13,1,No
1496,10209,18,0,Yes
1497,8620,14,2,No
1499,2064,21,1,No
1501,4035,16,0,Yes
1502,3838,11,0,No
1503,4591,17,1,Yes
1504,2561,11,0,No
1506,1563,14,1,No
1507,4898,14,0,No
1509,4789,25,1,No
1513,3180,13,3,No
1514,6549,14,2,No
1515,6388,17,0,Yes
1516,11244,25,0,No
1520,16032,20,1,No
1522,2362,13,0,No
1523,16328,13,1,No
1525,8376,18,0,No
1527,16606,12,1,No
1529,8606,19,0,No
1533,2272,14,0,No
1534,2018,14,0,No
1535,7083,14,0,Yes
1537,4084,12,0,No
1539,14411,13,0,Yes
1541,2308,25,1,Yes
1542,4841,14,1,No
1543,4285,17,0,No
1544,9715,13,1,No
1545,4320,13,0,No
1546,2132,20,1,No
1547,10124,14,1,Yes
1548,5473,12,0,No
1549,5207,12,1,Yes
1550,16437,21,0,Yes
1551,2296,14,3,No
1552,4069,18,0,Yes
1553,7441,12,3,No
1554,2430,23,2,No
1555,5878,12,1,No
1556,2644,21,0,Yes
1557,6439,14,1,No
1558,2451,18,2,No
1560,6392,13,1,No
1562,9714,11,1,No
1563,6077,11,0,No
1564,2450,19,0,No
1568,9250,12,1,No
1569,2074,12,1,Yes
1572,10169,16,1,No
1573,4855,11,2,No
1574,4087,14,1,No
1576,2367,12,1,No
1577,2972,13,0,No
1578,19586,21,1,No
1580,5484,17,1,No
1581,2061,21,0,No
1582,9924,11,1,No
1583,4198,12,0,No
1585,6815,13,0,No
1586,4723,18,0,Yes
1587,6142,16,0,Yes
1588,8237,11,1,No
1590,8853,19,1,No
1591,19331,16,1,Yes
1592,2073,16,1,No
1594,5562,13,1,Yes
1595,19613,22,0,No
1596,3407,17,2,No
1597,5063,14,1,No
1598,4639,15,1,No
1599,4876,12,1,No
1601,2690,18,1,No
1602,17567,15,0,No
1604,2408,17,3,Yes
1605,2814,14,0,Yes
1606,11245,15,1,Yes
1607,3312,17,2,No
1608,19049,14,1,Yes
1609,2141,12,1,No
1611,5769,14,0,Yes
1612,4385,15,1,No
1613,5332,13,0,No
1614,4663,12,2,Yes
1615,4724,13,1,No
1617,3211,14,1,No
1618,5377,13,3,No
1619,4066,11,2,No
1621,5208,11,0,No
1622,4877,21,1,No
1623,3117,18,0,No
1624,1569,12,0,Yes
1625,19658,11,1,No
1627,3069,15,1,No
1628,10435,13,2,No
1630,4148,12,1,No
1631,5768,17,3,No
1633,5042,13,0,No
1635,5770,19,2,No
1638,7756,19,1,Yes
1639,10306,17,0,No
